Poverb,Tag
Барская спесь на самом сердце нарастает.,Баре
Барская хворь — мужицкое здоровье.,Баре
"Барская шея толста, мы как блохи кусаем, да не прокусим.",Баре
"Барские привычки, да хамские захмычки. (манеры)",Баре
Барский гнев да барская милость опасны.,Баре
Барский двор хуже петли.,Баре
Барский приказчик и в лохани указчик.,Баре
Барской лаской не хвастай.,Баре
Барской работы не переработаешь.,Баре
Барскую просьбу почитай за указ.,Баре
"Бархатистый весь, а жальце есть.",Лукавство
"Бархатный весь, а жальце есть.",Баре
"Барчонок горя не вкусит, пока своя вошь не укусит.",Баре
"Барчуки, да поповичи, да голубые кони — редко удаются.",Баре
"Бары дерутся, а у холопов чубы болят.",Баре
"Бары дерутся, а у холопов чубы трещат.",Баре
"Бары — те крупитчаты, да сдобные; мужики ржаные, да с закалом.",Баре
Барыш с накладом рядом.,Продажа
Барыш с убытком в одних санях ездят.,Баре
Барышник и сам себе без божбы не верит.,"Баре, Недоверие"
Баснями сыт не будешь.,Обещание
"Батька горбом, а сынок горлом.",Мотовство
"Батька пьет — горе, мать пьет — горе вдвое.",Пьяница
"Батюшка Питер бока нам вытер, братцы заводы унесли годы, а матушка канава совсем доконала.",Эксплуатация
"Батюшка август работой-заботой мужика крушит, да после теплит.",Август
Батюшка сентябрь не любит баловать.,Сентябрь
Бахвальство не молотьба.,Бахвальство
Башмаки каши просят.,Дырки
"Башмаки новые, только дыры старые.",Дырки
Бдителен будешь — победу добудешь.,Бдительность
Бдительного воина врасплох не застанешь.,Бдительность
Бдительность проявлять — языком не болтать.,Бдительность
Бдительность — наше оружие: бдительность врага обнаружит.,Бдительность
"Беги зайцем, падай камнем, отползай ужом.",Маневр
Беда бедой беду затыкает.,Беда
Беда беду кличет.,Беда
Беда беду накликает.,Беда
"Беда беду родит, третья сама бежит.",Беда
Беда беду родит.,Беда
"Беда вымучит, беда и выучит.",Беда
Беда да мука — та же наука.,Беда
Беда да нужа выходят наружу.,Беда
Беда деньгу родит.,Беда
"Беда едет, беду везет, бедой погоняет.",Беда
"Беда за бедой, как волна за волной.",Беда
Беда и богатого мужика бездолит.,Беда
"Беда красит человека, как кипяток рака.",Беда
Беда куны родит.,Беда
Беда людей ищет.,Беда
"Беда мала, а с рук не идет.",Беда
"Беда на беде, бедой погоняет.",Беда
"Беда на беде, бедою погоняет.",Беда
Беда на беду наскочила.,Беда
"Беда на беду, бедой погоняет и беду родит.",Беда
"Беда навалила, мужика совсем задавила.",Беда
"Беда не дуда: станешь дуть, а слезы идут.",Беда
"Беда не за горами, а над головою висит.",Беда
"Беда не на годы падает, а на человека.",Беда
"Беда не по лесу ходит, а по людям.",Беда
Беда не приходит одна — сама идет и другую ведет.,Беда
Беда не приходит одна.,Беда
"Беда не страшит, а путь кажет.",Беда
"Беда не так страшна, когда есть друзья.",Беда
Беда не ходит одна.,Беда
Беда привалила — ума не хватило.,Беда
Беда придет — ум за разум зайдет.,Беда
"Беда придет, с ног собьет.",Беда
"Беда приходит пудами, а уходит золотниками.",Беда
Беда с пабедушками.,Беда
Беда семь бед приводит.,Беда
"Беда слабого пригибает, а сильного поднимает.",Беда
"Беда смиряет человека, а неправда людская губит.",Неправда
Беда споро ходит.,Беда
Беда ум родит.,Беда
"Беда ходит не по лесу, а по людям.",Беда
Беда — глупости сосед.,Беда
"Беда, коли на дорогу лошадь худа.",Беда
"Беда, коль пироги начнет печи сапожник, а сапоги тачать пирожник (И. Крылов).",Беда
"Беда, коль пироги начнет печи сапожник, а сапоги тачать — пирожник (И. Крылов).",Ремесло
"Беда, что вода,- нечаянно на двор придет.",Беда
"Беда, что текучая вода: набежит, да и схлынет.",Беда
"Беда-то не беда, только бы больше не было.",Беда
Беден как церковная крыса.,Бедность
Беден как церковная мышь.,Бедность
"Беден часто озирается, хоть и не его кличут.",Бедность
"Беден, да честен.",Бедность
"Беднее всех бед, когда денег нет.",Беда
"Бедней всех бед, когда денег нет.",Деньги
Бедному Кузеньке бедная и песенка.,Бедность
"Бедному Савке нет покою ни на печи, ни на лавке: на печи пекут, на лавке секут.",Бедность
Бедному везде бедно.,Бедность
Бедному все в глаза ветер дует.,Бедность
Бедному все сапоги по ноге.,Бедность
Бедному да вору — всякая одежа впору.,"Бедность, Воровство"
Бедному жениться — и ночь коротка.,Бедность
Бедному зятю и тесть не рад.,Бедность
Бедному кусок за целый ломоток.,Бедность
Бедному нигде места нет.,Бедность
"Бедному подле богатого жить — либо плакать, либо тужить.",Бедность
Бедному с богатым судиться — лучше в море утопиться.,Бедность
Бедному смерть не страшна.,Бедность
Бедности дана мудрость.,Бедность
Бедность и мудрого смиряет.,Бедность
"Бедность крадет, а нужда лжет.",Бедность
"Бедность не грех, а до греха доводит.",Бедность
"Бедность не грех, а неволя не смех.",Бедность
"Бедность не порок, а без шубы холодно.",Бедность
"Бедность не порок, а вдвое хуже.",Бедность
"Бедность не порок, а несчастье.",Бедность
"Бедность не порок, но большое свинство.",Бедность
Бедность не порок.,Бедность
Бедность не стыд.,Бедность
"Бедность плачет, богатство скачет.",Бедность
"Бедность учит, а счастье портит.",Бедность
"Бедностью учимся, а счастьем портимся.",Беда
Бедный в нуже — что жаба в луже.,Бедность
"Бедный вздохнет, богатый всхохочет.",Бедность
"Бедный во многом нуждается, а скупой во всем.",Скупость
"Бедный во многом нуждается, а скупой — во всем.",Нужда
Бедный да честный.,Бедность
Бедный две семьи кормит: свою да богатого.,Бедность
Бедный знает и друга и недруга.,Бедность
Бедный и к празднику у соседа отпрашивается.,Бедность
Бедный молодец честью богат.,Бедность
"Бедный песни поет, а богатый только слушает.","Бедность, Песня"
"Бедный разоряется, а богатый радуется.",Бедность
Бедный спит крепче.,Бедность
Бедным родился — нищим помрешь.,Бедность
"Бедняк всю жизнь тянет лямку, покуда не выроют ямку.",Бедность
"Бедняк что муха — где забор, там и двор; где щель — там и постель.",Бедность
Бедняка и на верблюде собака укусит.,Бедность
Бедняку гордость не по карману.,Гордость
"Бедняку так жилось; хоть кинь да брось, да пойди врозь.",Бедность
"Беду не ждут, она сама приходит.",Беда
"Беду скоро наживешь, да не скоро выживешь.",Беда
Беды да печали на почтовых примчали.,Беда
Беды да печали с ног скачали.,"Беда, Печаль"
Беды натворил: щуку с яиц согнал.,Беда
Беды научают человека мудрости.,Мудрость
Беды терпеть — каменное сердце иметь.,Беда
"Беды учат, пабедки мучат.",Беда
Беды человека научают мудрости.,Беда
"Беды, беды, кто вас выдумал!",Беда
"Беды, как гряды: считать станешь — устанешь.",Беда
"Бежал от волка, а попал медведю в зубы.",Судьба
"Бежал от дыма, а упал в огонь.",Судьба
"Бежала от волка, попала на медведя.",Судьба
Бежать от света во тьму кромешную.,Свет
Без «языка» что без ног — не знаешь к врагу дорог.,Разведка
Без «языка» что без ног; не знаешь к врагу дорог.,Язык
"Без Бога не до порога, а с Богом хоть за море.",Бог
Без Троицы дом не строится.,Дом
Без багорка не убьешь и зверька.,Охота
Без беды друга не узнаешь.,"Беда, Без, Друг"
Без беды и добра не бывает.,Беда
"Без блина не маслена, без пирога не именинник.",Пирог
"Без блина не масленица, без пирога не именинник.",Без
"Без блина не маслина, без пирога не именинник.",Блин
Без блина — не маслена; без пирога — не именины.,Блин
"Без блинов не масленица, а без пирога не праздник.",Без
Без бога — шире дорога.,Бог
Без болезни и здоровью не рад.,"Болезнь, Здоровье"
"Без брата проживешь, а без соседа не прожить.",Без
"Без брата проживу, а без соседа не проживу.",Сосед
Без букв и грамматики не учатся и математике.,Азбука
Без веретена пряжи не спрядешь.,Инструмент
"Без весу, без меры нет и веры.",Мера
Без ветра дерево не шатается.,Причина
"Без вина одно горе, а с вином старое одно да новых два: и пьян, и бит.",Вино
"Без винтовки, патронов и гранат не живет русский солдат.",Солдат
Без вины виноват.,Вина
Без вины виноватые.,Без
Без воды зима не станет.,Зима
Без воли — не командир.,Командир
"Без волненья, без заботы не жди радости от работы.",Работа
"Без газеты, как без солнца: и днем темны оконца.",Газета
Без гайки и трактора нет.,Трактор
Без году неделя.,"Без, Неделя"
Без голосу не крикнешь.,Крик
"Без гордости человек что тряпка, всяк ноги вытрет.",Гордость
"Без грамоты, как в потемках.",Грамота
Без гранаты не обойтись солдату.,Граната
Без греха века не проживешь.,Грех
"Без греха веку не изживешь, без стыда рожи не износишь.",Стыд
Без дела жить — только небо коптить.,"Без, Безделье"
Без дела и станок ржавеет.,Безделье
Без дела сидит да в пустой угол глядит.,"Без, Безделье"
Без денег в город — сам себе ворог.,Без
Без денег везде худенек.,Деньги
"Без денег проживу, а без хлеба не проживу.",Хлеб
Без денег сам черт бездельник.,Без
Без денег сон крепче.,Без
"Без денег торговать, как без соли хлебать.",Без
Без денег человек худенек.,Деньги
Без денег — везде худенек.,Без
"Без детей горе, а с детьми вдвое.",Дети
"Без детей горе, а с детьми — вдвое.",Без
"Без детей тоскливо, с детьми — водливо.",Дети
Без дисциплины жить — добру не быть.,Дисциплина
Без догляду хозяйство гниет.,"Бесхозяйственность, Присмотр"
"Без дома, без крова.",Без
Без друга в жизни туго.,Друг
Без друга жить — самому себе постылым быть.,Друг
Без друга на сердце вьюга.,Друг
"Без друга сирота, а с другом семьянин.",Друг
Без дружбы нет счастья.,Дружба
Без дураков скучно.,Дурак
Без дыр и заплат не живет русский солдат.,Солдат
Без жернова на шее дна не достать.,Без
Без забора да без запора не спасешься от вора.,Без
Без забора да без запора не спасёшься от вора.,Воровство
"Без забора, без запора не уйдешь от вора.",Воровство
Без заботы и репу не вырастишь.,Без
Без зазрения совести.,Совесть
Без закваски хлеба не месят.,Без
Без запевалы и песня не поется.,"Без, Запевала, Начальник, Песня"
Без злого умысла.,Без
Без знаний и лаптя не сплетешь.,Знания
"Без знаний не строитель, без оружия не воин (не воитель).",Оружие
"Без изъяна нет ни Марьи, ни Ивана.",Имена
Без имени и овца баран.,Имя
Без казны и волость не стоит.,Без
Без капусты животы пусты.,"Без, Капуста"
Без капусты щи не густы.,"Без, Капуста, Щи"
Без каши обед не в обед.,"Каша, Обед"
Без клещей кузнец что без рук.,Инструмент
"Без клещей кузнец, что без рук.",Без
Без клина и плахи не расколешь.,Инструмент
Без клина плахи не расколешь.,"Без, Клин"
Без клиньев и кафтана не сделаешь.,Инструмент
Без клиньев кафтан не сошьешь.,Без
Без клиньев кафтана не сошьешь.,Клин
Без коллектива и жизнь несчастлива.,Коллектив
Без контроля и хорошие люди портятся.,Контроль
Без коня нет кавалериста.,Конница
Без коня — чужой работник.,Без
Без копейки не бывать рублю.,Копейка
Без копейки рубль щербатый.,"Без, Копейка"
Без копейки рубля не бывает.,Деньги
Без копейки рубля нет.,"Без, Бережливость, Копейка, Экономия"
Без корма лошадь на кнуте везет.,Корм
Без корня и полынь не растет.,Без
Без коровы — не хозяйство.,Скот
Без костей и рыбки не съешь.,Без
Без косы и сена не накосишь.,Инструмент
Без косы сена не накосишь.,"Без, Косить, Сено"
Без кота мышам масленица.,Без
Без кота мышам раздолье.,"Без, Простор"
Без красного словца ни на шаг.,Слово
Без крыльев не улетишь.,Без
Без ладов и ведра не соберешь.,Инструмент
Без ленинских заветов не было бы власти Советов.,Партия
Без ленинских заветов не было бы власти Сонетов.,Советы
Без ложки и добрый едок станет.,"Без, Инструмент"
"Без лопаты на войне не житье, а вытье.",Лопата
Без любви к делу не станешь мастером.,Мастер
"Без любви, как без солнышка, нельзя прожить.",Любовь
Без любимого и мир постыл.,Милый
Без мастерства воевать — победы не видать.,"Война, Мастерство"
Без матки пропадут и детки.,Без
Без матки пчелки — пропащие детки.,Без
Без матки рой не держится.,"Без, Мать, Начальник, Пчела"
Без матушки родной и цветы не цветно цветут.,Без
Без межи — не вотчина.,Без
"Без меня меня женили,— я на мельнице был (из песни).",Жениться
Без меня меня женили.,Без
Без меры и лаптя не сплетешь.,"Без, Мера"
Без меры нет веры.,Мера
Без мила дружка обуяла грусть-тоска.,Милый
Без милого и свет не мил.,Свет
Без минутки еще не сутки.,Время
Без мороза вода не мерзнет.,Причина
Без мужа жена всегда сирота.,Муж
"Без мужа что без головы, а без жены что без рук.",Муж
Без мужа — что без головы; без жены — что без ума.,Без
Без муки нет и науки.,"Без, Учение"
Без муки нет науки.,Наука
Без надежды — что без одежды: и в теплую погоду замерзнешь.,Надежда
Без назема-батюшки не жди хлеба от земли-матушки.,Удобрение
Без народа — не воевода.,Народ
Без народа — одна невзгода.,Народ
Без наступления нет победы.,Наступление
"Без наук, как без рук.",Наука
Без науки и лаптя не сплетешь.,Наука
Без начала нет конца.,Начало
Без нашей свахи и девка не заневестится.,Без
"Без него, как без поганого ведра, не обойдешься.",Назойливость
Без недруга века не проживешь.,Недруг
"Без несчастья нет века, без пороков — человека.",Человек
Без нитки да иголки шубы не сшить.,Без
Без ногтя и вошь не убьешь.,Без
Без ножа зарезал.,Ловкач
Без ножа зарезали.,Без
Без ножа пера не очинишь.,Без
Без ножа хлеба не отрежешь.,Без
"Без ножа, да зарезал.",Без
Без ножниц осгриг.,Ловкач
Без ножниц платья не скроишь.,Без
"Без нужды живет, кто деньги бережет.",Нужда
"Без нюха, без слуха — одно брюхо.",Без
Без обеда не красна беседа.,"Без, Беседа, Обед"
Без обиды век не проживешь.,Без
Без обуха дрова рубит.,Ловкач
Без огонька не добыть уголька.,Уголь
"Без одежды, но не без надежды.",Надежда
Без опыта и науки не бери и хомута для починки в руки.,Опытность
Без осанки конь — корова.,Без
Без острого словца ни на шаг.,Слово
Без отваги нет победы.,Отвага
Без отдыха и конь не скачет.,Отдых
"Без отца — полсироты, а без матери и вся сирота.",Отец
"Без отца — сын шалун, без матери — дочь.",Отец
Без охоты не споро у работы.,Охота
Без охоты неспоро у работы.,Без
Без охоты нет работы.,Охота
Без памяти разум туп.,"Без, Память"
Без пастуха и овцы не стадо.,"Без, Начальник"
Без пастуха не стадо.,Пастух
Без патриотизма не разбить фашизма.,"Патриотизм, Фашизм"
Без перевясла и веник рассыпался.,"Без, Начальник"
Без песен мир тесен.,Песня
Без песен на войне труднее вдвойне.,Песня
Без песен рот тесен.,Без
Без пирога именинника под стол сажают.,Без
Без пищи не солдат.,Пища
"Без плода сажают, да до плода доживают.","Плод, Садоводство"
Без подводу тать не крадет.,Вор
Без подвоху вор не крадет.,Вор
Без поджога дрова не горят.,Без
Без поджога и дрова не горят.,Огонь
Без подпорки и большая стена падает.,Без
Без позору рожи не износить.,Позор
Без пользы на свете жить — лишь землю тяготить.,Жизнь
Без понукалки и сказочник дремлет.,Сказка
Без попа не приход.,Без
